cultivo,campania,municipio_id,municipio_nombre,superficie_sembrada,superficie_cosechada,produccion,rendimiento
Ajo,1969/70,06854,25 De Mayo,3,3,10,3333
Ajo,1970/71,06854,25 De Mayo,1,1,3,3000
Ajo,1969/70,06014,Adolfo Gonzales Chaves,15,15,82,5467
Ajo,1970/71,06014,Adolfo Gonzales Chaves,10,10,55,5500
Ajo,1971/72,06014,Adolfo Gonzales Chaves,8,8,44,5500
Ajo,1972/73,06014,Adolfo Gonzales Chaves,8,8,69,8625
Ajo,1973/74,06014,Adolfo Gonzales Chaves,10,10,85,8500
Ajo,1974/75,06014,Adolfo Gonzales Chaves,15,15,126,8400
Ajo,1975/76,06014,Adolfo Gonzales Chaves,15,15,81,5400
Ajo,1976/77,06014,Adolfo Gonzales Chaves,15,15,61,4067
Ajo,1969/70,06021,Alberti,5,5,7,1400
Ajo,1969/70,06028,Almirante Brown,2,2,8,4000
Ajo,1970/71,06028,Almirante Brown,3,3,12,4000
Ajo,1971/72,06028,Almirante Brown,3,3,11,3667
Ajo,1969/70,06077,Arrecifes,6,6,15,2500
Ajo,1970/71,06077,Arrecifes,5,5,15,3000
Ajo,1971/72,06077,Arrecifes,6,5,14,2800
Ajo,1972/73,06077,Arrecifes,8,7,17,2429
Ajo,1973/74,06077,Arrecifes,9,9,27,3000
Ajo,1974/75,06077,Arrecifes,8,8,27,3375
Ajo,1975/76,06077,Arrecifes,7,7,24,3429
Ajo,1976/77,06077,Arrecifes,10,10,37,3700
Ajo,1977/78,06077,Arrecifes,11,11,41,3727
Ajo,1978/79,06077,Arrecifes,8,8,26,3250
Ajo,1979/80,06077,Arrecifes,10,10,35,3500
Ajo,1980/81,06077,Arrecifes,12,12,44,3667
Ajo,1983/84,06077,Arrecifes,10,10,38,3800
Ajo,1984/85,06077,Arrecifes,12,12,44,3667
Ajo,1985/86,06077,Arrecifes,10,10,33,3300
Ajo,1986/87,06077,Arrecifes,11,11,42,3818
Ajo,1987/88,06077,Arrecifes,10,10,35,3500
Ajo,1969/70,06042,Ayacucho,5,5,14,2800
Ajo,1970/71,06042,Ayacucho,5,5,13,2600
Ajo,1971/72,06042,Ayacucho,5,3,7,2333
Ajo,1972/73,06042,Ayacucho,5,3,7,2333
Ajo,1973/74,06042,Ayacucho,8,8,24,3000
Ajo,1974/75,06042,Ayacucho,5,5,12,2400
Ajo,1975/76,06042,Ayacucho,5,5,10,2000
